t_ms,ibi_ms_ecg1,ibi_ms_ecg2
537500,799.9975,961.1916
538000,781.8495,963.8501
538500,768.1865,939.2275
539000,762.8982,920.9642
539500,761.3168,906.5397
540000,756.6982,889.6153
540500,745.8755,869.0483
541000,742.4974,843.9383
541500,742.7448,812.4061
542000,723.371,766.6822
542500,707.6511,704.9951
543000,703.8974,665.7092
543500,689.0304,675.1804
544000,656.9652,716.6731
544500,647.2636,729.6396
545000,673.5383,730.1652
545500,665.7356,741.5339
546000,658.4237,694.6305
546500,662.7995,342.8321
547000,660.1685,579.4103
547500,652.6379,1029.2913
548000,646.2071,784.1533
548500,643.4352,771.2207
549000,644.1444,822.7039
549500,649.5522,790.9905
550000,664.73,775.1805
550500,687.6154,778.8467
551000,731.4611,775.2034
551500,807.8986,759.6354
552000,869.6559,744.0287
552500,900.1455,730.1399
553000,905.4066,684.6209
553500,876.6666,648.507
554000,819.0718,648.732
554500,775.1173,617.9397
555000,754.9068,605.6793
555500,729.5091,627.4709
556000,699.9,654.9581
556500,675.3934,679.1112
557000,660.6948,707.5662
557500,664.6702,695.8214
558000,661.7108,651.4823
558500,640.4589,629.1553
559000,655.4164,631.3939
559500,695.4825,642.0224
560000,743.8349,668.5468
560500,792.0369,707.1425
561000,828.1339,707.0217
561500,850.9179,693.2521
562000,868.199,679.3654
562500,894.6083,670.9041
563000,910.2006,718.0013
563500,876.2386,756.8718
564000,828.0,764.2702
564500,814.5056,807.0354
565000,811.8632,809.6959
565500,798.5187,768.2694
566000,783.1574,810.4569
566500,767.967,890.2694
567000,752.7113,922.5316
567500,743.0392,931.1392
568000,722.8009,924.9372
568500,682.0593,883.895
569000,677.9279,818.0192
569500,691.2313,759.4868
570000,689.2954,732.3246
570500,712.486,757.6394
571000,750.313,850.7217
571500,786.4607,943.9935
572000,816.105,964.483
572500,831.6268,945.0264
573000,831.1586,909.2419
573500,819.9744,836.7573
574000,808.2438,753.998
574500,800.7111,746.7225
575000,786.475,776.1673
575500,766.3773,777.5224
576000,750.5456,830.19
576500,739.4424,908.0961
577000,728.5337,925.4586
577500,713.7973,920.0296
578000,704.5691,923.4852
578500,691.9914,898.293
579000,666.493,838.7646
579500,674.798,791.9758
580000,689.8723,781.3954
580500,676.0843,805.8625
581000,658.5398,857.4382
581500,668.5347,918.1776
582000,689.0194,960.3405
582500,703.0814,974.3158
583000,736.0451,960.6954
583500,767.0113,912.5717
584000,780.2496,826.8847
584500,779.0732,740.9064
585000,773.1162,696.8411
585500,768.2555,701.4932
586000,764.6344,676.9383
586500,759.5578,657.376
587000,748.176,968.504
587500,727.1908,1227.8524
588000,712.1927,1152.2511
588500,706.4247,972.85
589000,694.1127,876.9128
589500,689.3052,840.3941
590000,683.5476,811.1242
590500,665.0381,763.5821
591000,674.3108,701.5652
591500,681.4506,654.4586
592000,678.9098,632.5205
592500,709.0887,617.826
593000,764.9759,592.8868
593500,816.8414,582.2291
594000,839.6861,587.8573
594500,830.6852,625.2835
595000,811.9056,668.528
595500,808.6721,674.4577
596000,805.0812,650.6323
596500,791.3689,658.2765
597000,777.8503,679.9569
597500,759.5309,683.5827
598000,737.0488,674.699
598500,739.1925,664.9924
599000,757.0882,651.7384
599500,768.5305,639.6219
600000,780.0087,652.6073
600500,775.0515,707.0024
601000,744.3575,777.7966
601500,736.1151,837.7962
602000,736.1919,871.5441
602500,710.664,844.9195
603000,718.3171,770.3983
603500,674.7784,737.252
604000,650.4121,746.8574
604500,1097.6864,753.6438
605000,1379.4098,786.0714
605500,1097.6863,814.1221
606000,697.4653,787.1332
606500,599.2683,759.8205
607000,647.2015,766.3547
607500,649.4047,793.9358
608000,656.4338,825.6431
608500,689.7051,853.356
609000,721.4466,877.8836
609500,745.1028,868.5429
610000,770.3704,803.8674
610500,785.7898,753.7003
611000,793.1456,761.6108
611500,797.3086,791.0732
612000,789.9175,800.3342
612500,778.0287,775.7864
613000,771.5219,756.0084
613500,737.3091,756.8806
614000,683.0454,763.6498
614500,664.061,736.1633
615000,672.1864,700.986
615500,677.4054,714.8003
616000,665.7103,749.2698
616500,656.4657,773.1752
617000,666.3825,765.9848
617500,689.2189,715.1259
618000,710.8357,667.799
618500,736.4243,664.5544
619000,763.6834,650.92
619500,785.0013,638.617
620000,796.3019,647.1824
620500,819.0653,659.8893
621000,849.2675,650.6159
621500,842.1145,644.4522
622000,817.3658,646.114
622500,813.2292,658.6511
623000,807.2208,701.0318
623500,780.4212,700.1123
624000,739.4788,675.2058
624500,719.6122,668.6633
625000,735.1062,654.9045
625500,739.2304,656.8086
626000,731.7852,679.4181
626500,728.1487,718.7397
627000,728.6536,781.7065
627500,731.0849,777.7204
628000,739.031,710.6726
628500,759.8517,691.1124
629000,780.0141,733.8258
629500,794.5916,806.3927
630000,812.2714,863.0474
630500,824.577,862.7444
631000,830.3138,806.3123
631500,847.8194,735.9833
632000,878.2666,686.3791
632500,910.4529,686.6634
633000,931.6082,759.0798
633500,935.9942,880.2948
634000,931.9932,985.9433
634500,923.9923,997.2297
635000,909.2114,946.2882
635500,888.6958,918.191
636000,867.5128,924.1488
636500,850.8825,935.0973
637000,844.025,921.577
637500,852.1603,854.1283
